date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:05:16	142406/142406	---M--	200	added ('OK')	text/html	etag:%2247fc46bfe1efc1a6b36b382a8c5f89e9%22	http://r4ds.had.co.nz/functions.html	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/functions.html	(from http://r4ds.had.co.nz/)
23:05:18	140571/140571	---M--	200	added ('OK')	text/html	etag:%222292577091871ab5fa868131ba755d52%22	http://r4ds.had.co.nz/vectors.html	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/vectors.html	(from http://r4ds.had.co.nz/)
23:05:20	158090/158090	---M--	200	added ('OK')	text/html	etag:%220c9696afc2e470299430cea5ce37fe1f%22	http://r4ds.had.co.nz/iteration.html	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/iteration.html	(from http://r4ds.had.co.nz/)
23:05:22	90306/90306	---M--	200	added ('OK')	text/html	etag:%224ba8d47537b63e65f59137e1ffbc0c20%22	http://r4ds.had.co.nz/model-intro.html	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/model-intro.html	(from http://r4ds.had.co.nz/)
23:05:24	151503/151503	---M--	200	added ('OK')	text/html	etag:%2288fb13509f7420b1b4278164d85636aa%22	http://r4ds.had.co.nz/model-basics.html	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/model-basics.html	(from http://r4ds.had.co.nz/)
23:05:26	129748/129748	---M--	200	added ('OK')	text/html	etag:%223c69505d3ac3fe90c4466bb43f2e3433%22	http://r4ds.had.co.nz/model-building.html	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/model-building.html	(from http://r4ds.had.co.nz/)
23:05:28	146635/146635	---M--	200	added ('OK')	text/html	etag:%22f969904c10d04540e8f0d01b4098e9fc%22	http://r4ds.had.co.nz/many-models.html	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/many-models.html	(from http://r4ds.had.co.nz/)
23:05:30	86920/86920	---M--	200	added ('OK')	text/html	etag:%2263a6d96072b294f48c3a1ff2db2be69b%22	http://r4ds.had.co.nz/communicate-intro.html	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/communicate-intro.html	(from http://r4ds.had.co.nz/)
23:05:32	123619/123619	---M--	200	added ('OK')	text/html	etag:%22c5449db669f20556ccdbd69bc36dd323%22	http://r4ds.had.co.nz/r-markdown.html	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/r-markdown.html	(from http://r4ds.had.co.nz/)
23:05:34	139585/139585	---M--	200	added ('OK')	text/html	etag:%22bf2f7dc5beafe3bba5b1924549bd8165%22	http://r4ds.had.co.nz/graphics-for-communication.html	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/graphics-for-communication.html	(from http://r4ds.had.co.nz/)
23:05:36	106117/106117	---M--	200	added ('OK')	text/html	etag:%223cbdff5ebdb8ad4304d7241d4896a3f1%22	http://r4ds.had.co.nz/r-markdown-formats.html	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/r-markdown-formats.html	(from http://r4ds.had.co.nz/)
